Plant_Name,Best_Season,Depth_cm,Texture,pH,Organic_Matter_%,Moisture_Content_%,Bulk_Density_g/cm³,Nitrogen_N_ppm,Phosphorus_P_ppm,Potassium_K_ppm,Cation_Exchange_Capacity_meq/100g,Electrical_Conductivity_dS/m,Soil_Color,Porosity_%,Water_Holding_Capacity_%
Cabbage,Summer,69.5,Silty,7.21,0.67,28.57,1.37,20.68,29.34,168.49,13.18,4.3,Gray,46.66,41.65
Rosemary,Winter,19.7,Loamy,5.52,4.52,19.27,1.46,97.31,27.98,107.35,7.32,3.6,Red,59.49,21.07
Apple,Winter,53.9,Clayey,7.46,4.54,18.39,1.16,66.18,5.59,192.5,12.55,1.84,Yellow,35.32,21.84
Taro,Autumn,72.8,Silty,7.48,0.98,20.25,1.25,56.54,13.13,99.82,10.3,4.38,Yellow,48.15,40.62
Millet,Summer,57.7,Clayey,7.46,2.11,16.55,1.24,89.69,27.39,177.46,18.87,4.86,Gray,53.92,30.05
Cardamom,Spring,45.3,Loamy,5.99,4.26,32.72,1.39,47.92,38.87,172.26,15.59,1.51,Black,48.86,34.67
Chickpea,Autumn,66.0,Clayey,6.27,1.08,38.94,1.27,60.73,42.02,51.38,23.07,1.01,Yellow,56.91,43.46
Zucchini,Summer,97.2,Loamy,6.24,1.7,36.03,1.42,87.26,17.75,110.45,14.08,4.18,Yellow,48.02,37.31
Potato,Autumn,18.5,Sandy,8.38,3.56,16.54,1.45,45.37,37.06,92.1,8.87,2.95,Red,54.79,44.16
Garlic,Spring,45.1,Loamy,5.7,4.92,11.56,1.12,79.52,42.28,121.94,10.9,4.43,Brown,35.27,32.57
Black Pepper,Autumn,46.6,Sandy,6.79,4.09,32.71,1.42,33.05,21.87,119.42,18.64,1.8,Yellow,37.86,28.62
Rosemary,Autumn,61.9,Loamy,8.11,4.0,21.71,1.16,73.21,36.3,185.83,16.25,2.95,Brown,43.32,27.05
Barley,Autumn,23.7,Silty,7.81,2.04,34.74,1.33,55.94,24.68,77.54,6.07,2.93,Gray,55.55,23.95
Barley,Summer,25.9,Silty,7.97,3.48,33.38,1.46,24.84,49.35,77.33,10.25,1.02,Yellow,42.8,21.1
Muskmelon,Spring,35.7,Clayey,8.42,1.01,28.76,1.45,22.24,5.3,66.21,12.42,4.96,Red,48.82,21.59
Foxtail Millet,Winter,96.0,Loamy,6.66,4.97,17.66,1.25,51.19,23.65,160.8,23.13,3.35,Red,41.87,28.13
Carrot,Summer,76.1,Loamy,6.43,2.66,13.12,1.24,73.98,16.87,187.68,23.26,3.35,Gray,54.17,28.35
Tobacco,Winter,69.6,Loamy,5.59,3.37,17.58,1.32,64.3,43.24,105.28,22.45,1.55,Brown,36.01,31.45
Sugarcane,Winter,83.5,Clayey,5.95,4.44,25.29,1.19,86.93,17.92,59.27,25.46,3.29,Black,47.81,37.75
Guava,Summer,21.5,Silty,7.19,0.5,39.38,1.59,45.07,29.47,73.4,26.85,4.18,Gray,47.34,42.78
Foxtail Millet,Summer,87.3,Loamy,5.97,4.89,11.91,1.27,85.93,38.31,65.36,6.78,4.09,Black,42.1,25.93
Okra,Spring,63.5,Clayey,7.71,2.12,16.0,1.56,13.33,27.38,138.85,17.33,4.61,Red,51.15,42.78
Sweet Potato,Spring,40.2,Loamy,5.61,2.03,28.82,1.55,42.92,23.47,92.34,8.72,0.83,Red,30.85,24.17
Pearl Millet,Autumn,83.4,Sandy,6.28,1.15,19.13,1.28,16.57,6.91,184.62,13.85,1.0,Yellow,55.24,49.66
Carrot,Winter,82.2,Loamy,7.59,4.36,35.76,1.23,92.73,6.03,74.34,21.58,3.58,Red,40.44,28.55
Pumpkin,Spring,86.1,Sandy,6.27,4.42,14.18,1.49,52.78,48.08,189.52,20.04,4.06,Brown,53.79,45.12
Cherry,Autumn,20.4,Clayey,7.69,0.59,38.89,1.21,38.45,33.95,99.91,8.21,3.4,Red,39.15,25.71
Flax,Spring,97.2,Clayey,8.49,0.75,37.37,1.36,54.32,42.14,180.1,23.93,0.8,Yellow,35.64,48.52
Lychee,Summer,96.4,Silty,7.89,4.63,36.63,1.16,57.96,26.62,192.35,24.68,3.02,Gray,41.68,44.8
Date Palm,Spring,42.2,Loamy,6.53,1.05,15.19,1.29,86.16,16.77,197.95,8.48,3.77,Yellow,53.92,30.78
Saffron,Winter,15.9,Clayey,8.2,3.29,19.88,1.14,58.82,18.25,170.54,20.39,0.77,Gray,51.11,32.64
Coconut,Spring,25.0,Silty,5.65,3.29,34.12,1.24,48.82,6.96,65.25,28.63,0.37,Yellow,42.03,20.12
Grapes,Winter,99.4,Loamy,7.68,4.41,34.23,1.43,96.52,40.59,58.31,7.35,1.35,Red,58.14,27.54
Sesame,Summer,60.7,Clayey,5.57,3.08,31.16,1.6,97.17,31.17,160.96,9.12,0.54,Black,42.26,28.68
Dragon Fruit,Winter,42.1,Sandy,6.02,2.45,23.44,1.23,13.46,26.64,184.56,24.14,0.83,Brown,40.52,33.58
Coffee,Spring,35.9,Clayey,8.46,4.88,19.35,1.34,73.62,43.35,74.91,13.42,1.1,Black,34.34,24.17
Bell Pepper,Autumn,33.1,Sandy,6.58,1.53,38.89,1.32,43.46,25.02,191.16,28.89,2.7,Brown,32.11,34.36
Jute,Summer,69.8,Silty,7.96,1.68,14.18,1.19,70.77,47.66,141.53,20.61,0.86,Red,40.5,40.05
Sugarcane,Spring,47.7,Silty,6.63,0.88,11.31,1.41,67.32,5.6,68.6,17.08,3.06,Yellow,32.76,31.14
Cabbage,Summer,96.9,Loamy,8.02,4.89,10.27,1.46,39.71,49.31,75.06,13.44,1.52,Yellow,43.88,26.97
Grapes,Summer,71.5,Loamy,8.4,3.68,33.25,1.17,98.8,41.71,59.89,10.98,1.62,Gray,55.8,36.43
Sorghum,Spring,81.3,Loamy,6.81,0.55,11.7,1.48,42.14,20.97,71.48,21.25,4.84,Black,44.28,20.87
Kale,Spring,36.3,Silty,7.18,3.67,26.16,1.45,66.88,31.79,159.82,19.8,4.05,Brown,44.42,30.23
Rice,Autumn,17.1,Sandy,7.39,2.32,21.02,1.2,83.2,43.91,82.81,13.95,2.18,Yellow,37.6,35.83
Peas,Summer,53.9,Loamy,8.3,4.85,14.41,1.42,23.09,26.67,134.25,27.94,2.29,Red,34.99,30.08
Turmeric,Summer,38.3,Loamy,6.27,1.75,32.22,1.3,37.05,7.3,158.16,24.05,0.66,Yellow,36.67,30.36
Banana,Spring,28.2,Silty,7.33,3.7,11.65,1.44,27.91,45.67,184.29,11.5,4.24,Gray,47.04,45.45
Pearl Millet,Winter,95.7,Sandy,6.47,3.32,19.55,1.35,80.36,28.27,138.49,28.58,0.12,Yellow,47.75,48.02
Oats,Spring,50.0,Clayey,6.15,0.55,26.87,1.12,82.11,29.53,135.46,23.89,0.81,Red,36.61,44.82
Banana,Summer,25.7,Loamy,5.75,4.48,22.07,1.49,33.03,5.62,186.92,27.43,2.72,Yellow,41.97,22.97
Banana,Spring,27.9,Clayey,7.36,1.13,17.77,1.38,10.37,9.5,94.24,8.41,1.02,Brown,47.06,28.69
Black Gram,Autumn,35.3,Clayey,8.15,3.49,37.78,1.46,48.1,39.98,80.56,5.82,3.2,Brown,52.81,41.34
Millet,Winter,99.9,Loamy,6.55,3.99,37.93,1.16,71.84,24.57,180.92,17.32,0.12,Yellow,39.59,49.23
Sugarcane,Spring,34.1,Silty,7.16,3.34,22.48,1.46,66.03,49.91,61.18,16.2,0.58,Red,38.14,27.27
Chickpea,Autumn,39.6,Loamy,7.43,0.94,21.81,1.31,50.11,36.31,78.45,26.75,3.85,Red,51.91,46.95
Rye,Summer,69.3,Sandy,6.74,4.89,19.22,1.5,37.17,47.73,111.69,9.3,2.92,Yellow,45.41,42.17
Strawberry,Spring,36.5,Sandy,8.21,1.57,35.67,1.4,52.69,17.57,104.19,5.59,0.2,Red,55.7,49.5
Sunflower,Summer,29.4,Loamy,6.59,3.33,27.04,1.28,11.36,12.93,155.91,18.23,1.11,Brown,36.33,22.81
Clove,Autumn,24.3,Clayey,5.88,4.09,12.69,1.2,16.65,21.95,63.77,9.44,1.27,Brown,53.13,31.84
Cherry,Summer,38.1,Sandy,5.93,4.73,35.6,1.51,24.64,16.91,121.57,6.24,4.26,Brown,34.86,34.34
Pumpkin,Autumn,19.5,Sandy,8.17,3.22,26.05,1.38,66.29,32.6,171.28,5.56,2.95,Gray,47.54,40.16
Thyme,Autumn,11.7,Loamy,8.46,1.67,22.47,1.59,29.69,38.5,152.5,8.56,2.75,Black,38.51,39.62
Dragon Fruit,Autumn,82.4,Loamy,6.37,4.26,20.14,1.29,48.1,23.09,144.75,14.4,0.52,Brown,33.03,47.19
Bell Pepper,Spring,22.4,Silty,5.93,1.23,12.98,1.44,65.93,9.04,85.9,27.1,3.32,Yellow,48.5,45.16
Cauliflower,Summer,79.8,Loamy,6.95,0.6,38.7,1.41,84.75,6.18,109.04,24.01,0.86,Gray,45.2,21.66
Beetroot,Summer,81.8,Loamy,7.63,4.59,32.24,1.42,59.47,14.81,77.11,18.25,2.66,Yellow,44.58,34.6
Broccoli,Winter,58.4,Sandy,7.34,3.09,13.95,1.47,25.94,37.96,126.34,15.76,3.0,Red,47.78,32.21
Asparagus,Winter,37.9,Sandy,8.35,0.81,25.34,1.17,95.66,14.97,137.63,16.39,4.23,Black,41.17,49.91
Vanilla,Winter,23.1,Sandy,7.95,3.11,26.67,1.37,18.1,45.99,144.68,27.12,4.05,Gray,50.11,32.82
Banana,Winter,76.3,Clayey,8.11,1.15,15.04,1.35,43.04,34.32,181.39,23.12,1.03,Red,33.93,40.48
Black Pepper,Summer,64.1,Sandy,7.13,0.64,22.82,1.27,92.92,43.79,59.27,9.3,4.59,Red,51.45,28.53
Almond,Autumn,69.0,Sandy,6.48,1.02,29.37,1.32,64.21,22.36,108.25,28.49,0.11,Brown,47.39,38.44
Cabbage,Autumn,10.8,Loamy,7.61,3.99,18.52,1.36,69.64,49.26,138.65,24.32,1.72,Yellow,44.59,26.2
Green Gram,Spring,93.5,Silty,6.82,3.9,19.95,1.26,37.15,35.58,135.52,5.85,0.43,Red,33.83,38.11
Banana,Autumn,16.0,Sandy,6.36,3.22,13.66,1.25,17.07,21.06,53.26,17.56,3.63,Red,38.35,46.05
Muskmelon,Summer,43.0,Silty,5.96,1.44,22.4,1.47,42.92,14.56,78.4,21.32,2.55,Red,38.86,20.58
Pomegranate,Summer,46.2,Sandy,7.08,3.83,27.52,1.13,46.19,43.99,176.86,6.52,0.96,Black,37.01,35.14
Sorghum,Summer,10.1,Sandy,7.28,2.34,13.5,1.26,34.32,19.31,127.31,13.83,0.52,Gray,58.63,49.47
Walnut,Spring,54.7,Silty,7.21,2.8,28.44,1.43,29.39,7.0,112.03,21.21,1.21,Brown,57.47,24.78
Sunflower,Winter,77.8,Loamy,5.85,4.54,21.93,1.2,42.0,17.54,185.03,25.4,4.61,Gray,46.38,25.5
Cabbage,Autumn,84.1,Sandy,7.21,2.56,30.35,1.39,67.55,13.08,61.24,29.43,3.42,Red,36.17,34.12
Peas,Summer,89.1,Silty,6.01,3.32,19.45,1.25,95.41,19.39,188.35,8.04,1.29,Black,57.33,46.13
Cabbage,Summer,53.9,Sandy,7.49,4.83,27.05,1.52,73.34,32.6,54.17,20.81,4.48,Red,52.48,36.88
Carrot,Winter,66.8,Clayey,6.79,2.53,28.38,1.27,80.16,27.52,134.4,27.32,0.77,Yellow,31.16,35.26
Almond,Summer,17.2,Clayey,8.05,3.02,30.72,1.21,37.55,36.99,133.26,22.92,3.47,Gray,44.72,22.6
Potato,Autumn,53.9,Clayey,7.83,3.13,32.71,1.37,19.42,20.02,145.86,20.81,2.18,Brown,48.15,48.86
Spinach,Spring,23.9,Clayey,7.67,1.58,14.09,1.17,36.24,10.39,54.44,10.36,1.41,Black,31.99,30.41
Foxtail Millet,Summer,43.3,Loamy,7.6,3.82,38.96,1.5,46.24,12.21,129.58,25.38,1.39,Gray,31.49,27.55
Kiwi,Autumn,39.6,Clayey,7.18,3.77,35.31,1.44,72.09,40.88,67.04,19.06,2.55,Red,43.91,32.35
Brussels Sprout,Summer,48.1,Silty,5.68,1.46,26.87,1.49,94.54,9.41,73.4,7.79,4.66,Brown,30.06,32.43
Cauliflower,Winter,61.4,Sandy,7.47,0.56,36.71,1.3,82.84,40.92,82.3,28.39,3.74,Black,31.41,33.76
Bell Pepper,Summer,91.3,Silty,6.9,5.0,21.47,1.52,33.98,14.57,141.98,29.71,3.34,Red,34.95,40.66
Cauliflower,Summer,45.5,Clayey,6.91,3.12,11.03,1.35,83.83,35.53,108.51,18.44,4.39,Red,57.3,46.04
Okra,Spring,98.3,Loamy,6.64,1.31,31.81,1.15,47.06,33.04,62.8,24.41,2.89,Gray,52.99,21.72
Radish,Winter,78.3,Clayey,8.29,1.78,38.3,1.21,25.79,9.42,93.35,19.58,1.04,Red,43.51,34.72
Peas,Winter,56.0,Clayey,6.25,3.28,14.86,1.46,51.51,34.96,61.49,15.56,4.89,Red,44.38,32.42
Yam,Spring,68.0,Loamy,6.45,1.12,29.32,1.55,60.69,25.14,149.62,15.23,2.72,Black,50.58,20.33
Rice,Summer,19.2,Loamy,8.39,0.67,34.4,1.15,78.71,36.82,133.62,29.11,1.64,Red,44.23,44.49
Radish,Autumn,86.0,Loamy,7.93,4.09,37.15,1.53,41.49,42.6,111.15,14.22,3.91,Yellow,31.92,23.13
Asparagus,Winter,62.4,Loamy,5.54,3.72,18.3,1.5,23.21,6.78,189.15,17.26,2.37,Yellow,52.16,23.44
Lychee,Winter,98.7,Loamy,8.22,1.89,13.86,1.28,18.49,34.16,127.81,11.21,0.16,Brown,31.73,21.45
Cardamom,Summer,67.3,Loamy,6.18,0.76,17.44,1.44,20.12,9.72,183.13,11.33,1.67,Yellow,44.58,26.01
Onion,Summer,85.1,Sandy,7.62,2.69,27.33,1.19,95.5,22.05,136.86,13.91,2.34,Yellow,55.85,25.3
Date Palm,Winter,82.0,Clayey,7.16,1.74,37.56,1.51,95.66,5.57,106.52,28.12,1.93,Gray,33.52,30.44
Pearl Millet,Summer,41.1,Clayey,7.11,2.29,27.48,1.43,97.19,19.79,130.85,14.91,2.8,Yellow,51.2,39.78
Lychee,Autumn,33.4,Loamy,7.65,1.73,37.59,1.32,37.22,12.62,72.78,18.81,1.0,Red,31.39,21.63
Spinach,Winter,48.7,Silty,6.12,1.29,33.1,1.53,27.25,30.03,151.21,18.64,2.9,Gray,59.79,45.81
Chili,Autumn,52.1,Loamy,5.98,2.24,27.95,1.17,98.28,28.05,197.32,19.58,4.93,Yellow,50.46,29.8
Vanilla,Autumn,31.6,Sandy,7.46,4.84,10.65,1.52,98.94,40.7,87.12,25.5,3.79,Red,59.07,38.2
Fig,Summer,90.5,Silty,6.37,1.7,19.99,1.11,17.05,33.8,98.48,27.53,3.45,Brown,50.05,20.36
Cauliflower,Autumn,58.8,Sandy,8.42,2.01,11.72,1.48,77.73,37.16,110.91,10.22,1.08,Gray,37.27,30.97
Cocoa,Summer,98.1,Silty,6.85,1.98,19.67,1.39,35.98,9.16,122.52,26.51,2.95,Red,57.79,20.06
Papaya,Spring,82.9,Silty,5.83,2.66,11.87,1.45,91.84,6.25,157.87,18.69,4.12,Gray,48.8,24.96
Bamboo,Summer,60.0,Loamy,7.56,4.3,15.03,1.31,18.03,48.63,70.5,28.11,1.28,Brown,47.28,33.44
Horse Gram,Autumn,95.2,Sandy,6.42,2.31,22.32,1.53,89.97,24.22,95.37,27.9,0.53,Brown,42.87,36.05
Fenugreek,Spring,55.4,Silty,5.95,4.13,25.45,1.26,10.24,22.77,130.8,14.74,3.34,Gray,38.54,24.59
Corn,Summer,89.8,Sandy,6.77,1.02,16.51,1.24,56.98,6.58,138.44,21.3,3.4,Red,45.9,42.36
Rubber,Autumn,42.2,Loamy,8.39,4.53,31.98,1.25,40.2,10.35,130.49,26.79,4.04,Black,40.98,25.67
Mustard,Winter,44.1,Loamy,6.73,1.33,27.71,1.49,48.46,47.32,115.32,14.62,3.18,Gray,55.62,23.48
Spinach,Winter,47.6,Loamy,6.54,0.68,30.75,1.35,49.04,36.27,156.72,6.1,4.26,Black,30.86,30.0
Radish,Summer,59.2,Loamy,6.83,1.21,31.98,1.37,68.82,23.41,80.67,14.0,1.4,Red,45.9,36.54
Beetroot,Summer,59.8,Clayey,5.54,1.36,31.81,1.52,12.08,45.7,92.41,14.14,0.27,Yellow,55.1,49.67
Pomegranate,Winter,54.7,Silty,5.9,2.79,38.09,1.52,72.22,31.55,116.67,25.17,3.69,Gray,30.83,32.56
Pumpkin,Autumn,37.5,Clayey,8.05,2.52,17.12,1.18,12.0,38.59,154.33,12.74,1.99,Brown,38.47,32.78
Carrot,Autumn,93.4,Loamy,8.43,3.72,18.1,1.37,26.67,24.42,62.35,27.35,1.13,Yellow,31.55,21.78
Rosemary,Autumn,63.0,Silty,5.97,0.73,12.83,1.16,64.61,24.42,67.35,18.72,0.35,Red,47.85,42.97
Oats,Summer,46.7,Silty,7.11,2.74,27.78,1.53,17.78,8.08,167.36,19.65,3.8,Brown,39.5,25.45
Raspberry,Spring,68.6,Sandy,8.4,2.0,21.86,1.52,99.18,38.03,89.14,25.18,4.15,Gray,58.79,42.34
Wheat,Spring,79.1,Loamy,5.97,3.34,24.89,1.52,80.59,9.46,194.52,8.36,2.01,Red,48.49,47.32
Barley,Spring,96.5,Clayey,6.06,0.7,15.09,1.45,73.51,39.39,194.21,5.45,4.44,Gray,46.85,43.05
Corn,Spring,55.0,Sandy,8.28,0.66,29.47,1.33,34.09,13.59,152.89,6.42,2.14,Yellow,57.52,39.27
Hemp,Spring,20.1,Silty,7.62,2.42,28.57,1.3,14.37,16.13,157.53,5.77,4.76,Gray,36.71,38.12
Soybean,Summer,49.7,Clayey,5.96,4.15,17.94,1.3,98.09,46.31,147.65,22.5,4.92,Brown,46.87,33.61
Green Gram,Summer,53.1,Loamy,6.68,3.52,23.96,1.13,23.31,26.22,76.6,11.12,4.11,Gray,46.28,24.34
Foxtail Millet,Spring,90.7,Clayey,5.67,0.58,36.83,1.57,84.75,10.64,125.07,26.44,1.36,Yellow,32.46,43.37
Tobacco,Summer,45.5,Clayey,6.8,1.3,33.2,1.33,27.78,45.73,168.95,27.07,1.89,Yellow,57.96,34.32
Black Gram,Summer,95.8,Clayey,7.83,1.52,16.81,1.57,43.67,25.36,166.2,13.9,2.71,Brown,51.01,38.77
Bell Pepper,Spring,53.7,Sandy,7.16,2.4,36.37,1.54,72.42,10.87,184.82,9.87,1.71,Black,56.64,31.22
Sugarcane,Autumn,97.6,Silty,7.44,3.14,12.02,1.51,95.08,22.59,185.12,17.47,4.11,Black,59.48,26.02
Cabbage,Summer,10.7,Clayey,6.48,1.47,22.42,1.39,11.78,31.52,89.22,25.4,4.64,Gray,44.39,44.2
Almond,Autumn,90.9,Silty,5.98,2.22,12.4,1.15,33.47,21.31,158.26,22.12,4.93,Yellow,54.11,30.27
Kale,Summer,93.8,Sandy,5.54,3.13,37.73,1.26,78.85,46.59,147.7,5.64,1.75,Red,47.33,46.0
Onion,Summer,96.5,Loamy,7.96,2.23,11.22,1.4,25.61,17.14,182.87,5.18,1.42,Red,59.31,48.97
Flax,Spring,11.2,Loamy,7.41,1.14,14.54,1.11,20.03,12.91,77.52,7.85,0.89,Yellow,37.42,44.9
Coffee,Summer,25.5,Clayey,6.19,2.71,37.45,1.12,14.16,14.94,160.97,13.42,0.33,Red,30.41,23.84
Peas,Winter,68.8,Sandy,6.76,1.96,27.46,1.44,55.22,8.77,113.5,18.42,0.97,Brown,35.58,45.65
Cotton,Winter,12.3,Loamy,7.9,4.39,33.86,1.54,79.1,25.35,109.17,25.44,1.49,Gray,33.84,35.58
Grapes,Spring,15.7,Sandy,7.12,3.99,10.49,1.53,96.56,44.53,55.37,8.57,2.02,Yellow,43.11,27.24
Brussels Sprout,Autumn,29.9,Sandy,6.4,1.36,22.57,1.18,34.07,18.74,194.22,8.81,0.64,Gray,32.32,22.79
Eggplant,Autumn,56.1,Clayey,6.3,1.19,39.53,1.56,20.92,16.63,151.37,26.59,4.12,Brown,36.61,28.36
Rosemary,Autumn,59.1,Clayey,6.15,2.06,27.39,1.45,46.23,42.68,138.61,28.1,3.13,Red,32.89,24.12
Ginger,Winter,13.1,Sandy,7.97,2.35,35.49,1.46,14.99,18.77,87.67,18.78,2.86,Yellow,44.6,20.77
Sorghum,Autumn,25.3,Sandy,7.25,4.69,38.91,1.25,39.82,26.46,148.77,24.62,2.77,Brown,38.0,49.63
Sweet Potato,Autumn,55.0,Clayey,7.63,1.86,30.55,1.46,67.88,6.41,191.84,13.57,1.52,Brown,44.13,44.95
Dragon Fruit,Spring,63.5,Sandy,8.08,4.4,19.83,1.45,25.13,17.92,74.49,28.66,4.69,Gray,32.67,42.17
Lentils,Autumn,23.4,Clayey,8.46,2.77,19.26,1.4,66.87,10.88,197.57,27.62,1.24,Yellow,45.51,25.79
Orange,Winter,45.9,Silty,6.25,4.49,12.14,1.28,97.48,9.76,114.11,26.24,3.38,Gray,33.9,20.83
Turmeric,Winter,91.4,Sandy,6.04,3.66,22.83,1.51,87.78,24.41,196.73,5.32,1.34,Gray,32.98,34.56
Groundnut,Winter,99.9,Clayey,6.89,3.69,37.46,1.57,42.12,17.48,145.08,18.08,4.95,Brown,39.3,42.25
Kiwi,Spring,98.8,Sandy,5.61,2.83,24.34,1.53,47.93,12.49,98.62,5.67,4.57,Gray,56.23,48.89
Oats,Spring,89.4,Clayey,7.88,4.28,37.33,1.22,47.74,28.02,106.17,21.94,1.4,Red,53.66,45.32
Pearl Millet,Summer,45.5,Sandy,8.15,1.64,34.51,1.32,87.39,40.28,93.58,9.59,4.94,Red,58.77,46.81
Buckwheat,Autumn,71.8,Loamy,7.56,4.58,39.53,1.27,99.44,38.07,100.22,20.99,3.17,Brown,43.81,27.16
Fenugreek,Spring,47.5,Loamy,6.3,3.37,38.43,1.45,84.33,16.28,146.98,7.45,3.67,Gray,39.37,24.66
Zucchini,Winter,68.4,Sandy,5.87,2.47,31.19,1.52,60.23,16.84,52.49,23.92,1.49,Red,59.13,27.43
Rosemary,Winter,37.8,Loamy,6.65,4.92,36.14,1.21,18.76,37.94,195.14,23.16,1.16,Black,41.45,24.16
Soybean,Spring,64.6,Sandy,8.0,4.38,32.44,1.57,95.9,30.07,165.28,5.12,4.3,Black,30.27,43.95
Soybean,Spring,57.1,Sandy,6.54,3.97,31.1,1.44,87.4,38.41,191.15,24.8,1.45,Gray,54.6,47.09
Groundnut,Spring,12.2,Silty,5.6,1.73,31.47,1.21,85.73,5.06,157.63,9.09,4.6,Brown,35.08,29.22
Sugarcane,Summer,81.2,Silty,6.32,4.88,31.63,1.29,45.26,8.92,122.16,7.73,1.9,Red,51.54,46.31
Lettuce,Winter,11.1,Loamy,8.47,3.84,21.38,1.15,50.25,41.09,78.46,17.51,0.14,Yellow,30.45,21.65
Green Gram,Summer,36.4,Silty,7.53,3.22,22.71,1.4,20.77,43.3,127.45,19.75,3.0,Yellow,33.33,40.32
Cucumber,Summer,10.5,Silty,8.2,4.65,18.82,1.18,94.41,20.45,156.75,7.58,1.83,Red,44.51,35.82
Papaya,Autumn,43.9,Sandy,7.82,1.23,14.45,1.45,94.89,48.13,178.13,12.62,4.88,Gray,32.04,28.3
Asparagus,Winter,15.7,Clayey,7.12,1.13,23.75,1.47,32.9,18.57,98.62,15.19,1.99,Black,56.66,43.05
Ginger,Winter,92.2,Sandy,5.95,3.04,37.0,1.34,72.64,45.06,126.57,28.59,1.64,Black,52.5,26.36
Cabbage,Spring,47.4,Silty,6.55,0.76,29.54,1.15,28.31,23.98,143.0,11.28,2.88,Red,39.85,32.48
Pear,Spring,51.4,Sandy,7.25,3.49,11.69,1.41,45.37,30.28,138.29,11.51,3.68,Black,47.93,41.3
Guava,Autumn,41.5,Loamy,8.11,1.58,34.34,1.29,37.21,33.95,57.86,21.48,4.84,Red,51.47,30.15
Almond,Summer,66.5,Clayey,6.31,1.04,38.06,1.57,45.06,10.99,122.51,23.18,0.44,Brown,52.66,45.66
Soybean,Spring,80.6,Silty,5.86,2.34,34.88,1.36,37.81,6.67,171.35,5.27,2.16,Black,41.87,45.96
Coriander,Spring,68.3,Silty,7.18,2.6,31.83,1.14,41.08,24.21,170.35,8.35,3.35,Gray,56.96,26.08
Basil,Winter,77.3,Sandy,6.03,1.27,14.5,1.42,81.2,12.22,126.07,13.94,0.12,Black,58.25,33.21
Cashew,Winter,91.5,Sandy,7.33,0.69,20.47,1.49,37.0,29.7,192.85,20.8,2.5,Red,35.87,32.96
Groundnut,Spring,87.7,Sandy,6.29,2.36,26.96,1.18,83.32,25.41,173.93,8.35,4.05,Yellow,57.34,32.3
Rye,Winter,70.7,Sandy,6.19,3.92,12.31,1.32,61.11,10.49,160.6,13.92,0.35,Black,51.38,35.06
Blueberry,Autumn,29.3,Silty,6.7,4.43,13.19,1.47,80.24,34.96,127.34,7.01,1.77,Red,56.64,22.23
Soybean,Spring,67.4,Sandy,7.28,0.94,38.03,1.11,92.7,5.92,138.6,19.28,2.06,Black,42.74,46.1
Watermelon,Winter,55.5,Silty,7.14,2.86,31.08,1.11,22.46,10.69,83.49,15.66,3.61,Black,49.84,28.7
Lentils,Autumn,74.5,Sandy,6.23,1.69,18.25,1.44,40.95,36.51,129.86,24.7,1.55,Black,37.06,20.05
Corn,Winter,85.0,Clayey,8.17,2.19,19.82,1.46,15.0,28.75,128.9,19.35,1.31,Yellow,52.53,40.55
Chili,Winter,76.8,Clayey,5.83,4.7,21.53,1.52,46.62,17.69,80.41,21.48,0.67,Red,47.45,39.51
Passion Fruit,Winter,86.2,Sandy,5.62,2.08,12.25,1.3,31.37,13.11,192.67,21.78,4.98,Brown,44.43,49.49
Rosemary,Spring,15.7,Sandy,7.31,2.14,32.18,1.29,61.45,33.9,86.71,19.74,2.41,Gray,50.78,41.58
Clove,Summer,12.8,Loamy,5.87,1.44,15.31,1.38,80.51,14.25,65.63,5.4,0.34,Yellow,46.57,29.98
Soybean,Winter,33.3,Clayey,7.01,4.82,34.15,1.48,53.77,49.31,120.05,25.8,0.48,Gray,52.96,48.58
Lettuce,Autumn,91.1,Silty,8.36,2.55,35.38,1.42,40.03,44.12,152.91,27.92,0.73,Gray,55.75,30.96
Orange,Spring,84.1,Clayey,7.6,3.07,29.15,1.26,23.73,10.95,79.27,18.36,1.14,Brown,54.02,44.64
Beetroot,Spring,71.4,Silty,7.35,2.54,33.1,1.27,12.41,43.66,77.43,7.8,3.73,Black,39.23,30.07
Yam,Autumn,73.1,Sandy,7.22,1.64,15.16,1.48,71.01,20.53,89.22,21.37,2.84,Brown,59.28,21.46
Mustard,Winter,75.4,Clayey,6.04,4.15,27.28,1.37,12.75,27.05,95.41,14.09,3.91,Gray,49.49,42.01
Apple,Summer,94.8,Clayey,6.8,0.63,30.3,1.15,92.88,11.43,86.93,6.83,0.2,Yellow,39.7,30.51
Coriander,Winter,84.9,Loamy,6.53,3.61,29.85,1.18,63.48,10.34,120.6,26.36,1.4,Gray,31.28,30.17
Coriander,Autumn,66.1,Loamy,8.36,3.17,13.52,1.53,41.8,43.95,52.74,22.79,2.09,Gray,59.64,41.48
Mustard,Spring,69.9,Clayey,6.23,1.15,20.33,1.6,13.77,33.35,63.13,25.12,2.2,Brown,47.97,29.66
Coconut,Summer,29.2,Clayey,6.91,1.25,19.75,1.27,47.21,25.72,159.4,24.9,0.36,Red,36.83,23.54
Rubber,Spring,69.2,Clayey,8.31,3.47,27.18,1.29,88.06,6.63,111.85,13.94,2.61,Gray,44.73,32.14
Zucchini,Autumn,48.2,Silty,7.87,1.9,32.96,1.18,97.28,46.49,104.05,17.06,1.5,Red,41.93,44.72
